ticker,K,M,S,T,r,q,ask,bid,mid,iv_ask,iv_mid,iv_bid,last_price,volume,volume_1d,open_interest,theo_iv,theo_price,parity,delta_last,gamma_last,theta_last,vega_last,delta_mid,gamma_mid,theta_mid,vega_mid,rho_mid,ival,true,ylast,days_ex,FF,x
SPX 5/16/25 P3725,3725,0.722151247369366,5158.2,0.06774150177574821,0.04548025,0.01846128,5.59999942779541,5.09999942779541,5.34999942779541,0.5917194366455081,0.58756404876709,0.583284645080566,6.65000009536743,12.0,95.0,810.0,0.610917131596977,6.80190955663634,,-0.0202946625649929,0.00298744782156453,-0.758205845004355,0.686289273921487,-0.0170650687068701,0.0026405630633235,-0.642628371715546,0.593850374221802,-0.000631702307146043,,,4.69999980926514,24.7256481481481,5167.649727674457,-0.32735113519902753
SPX 5/16/25 P3750,3750,0.726997900036274,5158.2,0.06774150177574821,0.04548025,0.01846128,5.89999961853027,5.30000019073486,5.599999904632565,0.585759201049805,0.5809988021850591,0.576075134277344,6.38000011444092,918.0,261.0,3460.0,0.604109595948496,7.08704154495902,,-0.0201009828597307,0.00304649583995342,-0.731135189533234,0.67979896068573,-0.0179588049650192,0.00278940098360181,-0.663692474365234,0.620230257511139,-0.000664497318211943,,,6.09000015258789,24.7256481481481,5167.649727674457,-0.3206621470482308
SPX 5/16/25 P3775,3775,0.7318445527031829,5158.2,0.06774150177574821,0.04548025,0.01846128,6.19999980926514,5.59999942779541,5.899999618530275,0.579710121154785,0.575167503356934,0.570477752685547,8.10000038146973,,,1358.0,0.597305937922478,7.38412014791675,,-0.0226550009101629,0.00312999278082657,-0.891840916180191,0.769681747953173,-0.0189862847328186,0.00295439455658197,-0.688900709152222,0.650323688983917,-0.000702375546097755,,,8.10000038146973,24.7256481481481,5167.649727674457,-0.3140176043295623
SPX 5/16/25 P3800,3800,0.736691205370091,5158.2,0.06774150177574821,0.04548025,0.01846128,6.40000057220459,5.90000057220459,6.15000057220459,0.572155990600586,0.56850959777832,0.564707197215406,6.19999980926514,1761.0,4.0,10458.0,0.5905044269983241,7.69361743601673,,-0.0199793819338083,0.00311116152442992,-0.713606715202332,0.679826855659485,-0.0199093371629715,0.00311193568632007,-0.708994150161743,0.67716372013092,-0.00073636113665998,,,5.30000019073486,24.7256481481481,5167.649727674457,-0.30741692029821016
SPX 5/16/25 P3825,3825,0.741537858037,5158.2,0.06774150177574821,0.04548025,0.01846128,6.69999980926514,6.10000038146973,6.400000095367435,0.565765495300293,0.561567230224609,0.557182257329661,6.30000019073486,38.0,88.0,1706.0,0.583703318628298,8.01603741686375,,-0.0206105299293995,0.00325118214823306,-0.719584882259369,0.697506844997406,-0.020860280841589,0.00327748153358698,-0.728576123714447,0.704477727413177,-0.000771235907450318,,,5.90000009536743,24.7256481481481,5167.649727674457,-0.3008595197520511
SPX 5/16/25 P3850,3850,0.746384510703908,5158.2,0.06774150177574821,0.04548025,0.01846128,7.0,6.40000057220459,6.700000286102295,0.559084281921387,0.555086250305176,0.550840034484863,6.59999990463257,407.0,88.0,2837.0,0.576900922179868,8.35185051425314,,-0.0217143502086401,0.00343635538592935,-0.743622183799744,0.728978991508484,-0.0219715218991041,0.0034645355772227,-0.752400398254395,0.735990583896637,-0.00081197451800108,,,5.94000005722046,24.7256481481481,5167.649727674457,-0.2943448387308575
SPX 5/16/25 P3875,3875,0.751231163370817,5158.2,0.06774150177574821,0.04548025,0.01846128,7.30000019073486,6.69999980926514,7.0,0.55239631652832,0.548547973632812,0.544530754752059,8.05000019073486,45.0,130.0,850.0,0.570095677341767,8.70166180854134,,-0.0261304210871458,0.00403973990921626,-0.856604109369509,0.84709031430578,-0.0230660662055016,0.00365245714783669,-0.758269309997559,0.766875803470612,-0.000852250086609274,,,6.09999990463257,24.7256481481481,5167.649727674457,-0.28787232422523995
SPX 5/16/25 P3900,3900,0.756077816037725,5158.2,0.06774150177574821,0.04548025,0.01846128,7.60000038146973,7.0,7.300000190734865,0.545136566162109,0.541434783935547,0.5379478295671339,7.36999988555908,1613.0,966.0,4343.0,0.563286238686836,9.06600205121839,,-0.0244788900017738,0.00389390112832189,-0.785040676593781,0.805751442909241,-0.0242350827902555,0.00385753391310573,-0.780550599098206,0.799238562583923,-0.000894879340194166,,,6.69999980926514,24.7256481481481,5167.649727674457,-0.2814414338949496
SPX 5/16/25 P3925,3925,0.760924468704634,5158.2,0.06774150177574821,0.04548025,0.01846128,8.0,7.40000057220459,7.700000286102295,0.539493141174316,0.535956802368164,0.532412890489281,7.80000019073486,512.0,361.0,896.0,0.556471567677724,9.44556642960548,,-0.0255228094756603,0.00402202222859114,-0.819762048232663,0.839410674006445,-0.0256372839212418,0.00408522924408317,-0.810742855072021,0.837940156459808,-0.000946610234677792,,,7.69999980926514,24.7256481481481,5167.649727674457,-0.2750516357961786
SPX 5/16/25 P3950,3950,0.765771121371542,5158.2,0.06774150177574821,0.04548025,0.01846128,8.30000019073486,7.69999980926514,8.0,0.532397918701172,0.528990707397461,0.525440247188271,7.90000009536743,186.0,351.0,2236.0,0.549651030901863,9.84108203133281,,-0.0265769343823195,0.00427285954356194,-0.823617279529572,0.863868057727814,-0.0268319770693779,0.00429959362372756,-0.831844210624695,0.870564103126526,-0.000990445027127862,,,7.09999990463257,24.7256481481481,5167.649727674457,-0.2687024081175198
